code,momentum_5d
603030.XSHG,-0.018877840797839555
002199.XSHE,0.010580407999238567
600692.XSHG,-0.004640028966692175
300971.XSHE,-0.012258139998210927
603189.XSHG,0.0433504529353083
600390.XSHG,0.018375747441700074
600188.XSHG,-0.055857784064290074
301007.XSHE,-0.008434358535261378
600167.XSHG,-0.0472229094904716
688510.XSHG,-0.07226505173004748
300665.XSHE,0.0007505431129941273
300337.XSHE,0.02168428165866955
002391.XSHE,0.0250811339361931
688158.XSHG,0.04195409928977591
600599.XSHG,-0.10609963880665084
600020.XSHG,-0.008094428472098235
300952.XSHE,-0.023135514278469986
688082.XSHG,-0.17005346097161328
300449.XSHE,-0.01468819266878122
300251.XSHE,-0.02473584516059209
600749.XSHG,-0.12421488609278578
002290.XSHE,-0.06097018321574543
300592.XSHE,-0.050770670223075076
001231.XSHE,-0.07594796555411948
300002.XSHE,0.029931490160800142
300783.XSHE,-0.030672595909448902
300122.XSHE,-0.019156286480973072
688981.XSHG,-0.012560199426814172
300045.XSHE,0.010364434788554035
002092.XSHE,-0.0005587477533479344
002304.XSHE,-0.04669761010451917
002488.XSHE,-0.017011810265323522
600303.XSHG,0.09501840780954526
000032.XSHE,0.1267735970116425
002326.XSHE,0.018222180658921724
301039.XSHE,-0.0031739858953746826
000567.XSHE,0.04508702903342118
002353.XSHE,-0.037781175645942994
603489.XSHG,-0.04836805794063841
002420.XSHE,-0.0008587688238054086
688138.XSHG,-0.1527207715587584
300500.XSHE,-0.015293571493571089
000507.XSHE,0.011959912142566547
002432.XSHE,-0.0013758384669191148
300329.XSHE,-0.007284345623566292
600518.XSHG,-0.019314665919344762
688215.XSHG,-0.013766900047728963
688206.XSHG,-0.04427814974428728
002153.XSHE,-0.03970029033225648
603661.XSHG,0.021426393630151884
301059.XSHE,-0.013119584835046444
601568.XSHG,0.012862947915856937
000026.XSHE,-0.011444759166281147
600861.XSHG,-0.0033313845914784215
601336.XSHG,0.031327911551113384
001336.XSHE,-0.0038169847489444263
300032.XSHE,0.028356939694325713
002787.XSHE,-0.0049552932478809444
300407.XSHE,0.006549735459561303
002346.XSHE,0.02601021554340043
601233.XSHG,-0.003921557502683078
688288.XSHG,0.0332953760625591
002601.XSHE,-0.0037485378176536003
300215.XSHE,0.023268558013507776
300885.XSHE,0.011705427466502855
688207.XSHG,0.018344318326913446
002065.XSHE,0.05139147293781284
600483.XSHG,0.0214859213636506
000790.XSHE,0.022246751878991593
002940.XSHE,0.08470011296329623
300278.XSHE,-0.014561814744683104
603444.XSHG,-0.023976586754478144
000006.XSHE,-2.008709104104299e-05
300741.XSHE,-0.01607262692268457
600208.XSHG,0.0004532239200487971
600217.XSHG,0.0068582297955898115
300909.XSHE,0.044458988826595866
300584.XSHE,0.02431419587944026
601888.XSHG,-0.08006520867323988
605300.XSHG,-0.09526267463121814
300523.XSHE,0.050469346843723895
603488.XSHG,-0.01540012182934929
600418.XSHG,-0.046791172119653834
688683.XSHG,-0.028711091535564566
300313.XSHE,0.06646497891057747
000682.XSHE,0.02454342449521465
600704.XSHG,0.008619064274837857
300491.XSHE,0.02496889622739401
002378.XSHE,-0.014320926211482177
002387.XSHE,0.005897120696344285
000713.XSHE,0.03811432888605725
600287.XSHG,-0.012061254449075642
300318.XSHE,0.027783090990234897
002105.XSHE,-0.0058636376093728
300054.XSHE,-0.17348170643531335
301041.XSHE,-0.005830412384463598
000632.XSHE,-0.009032889608077037
601360.XSHG,0.02466932668929691
601101.XSHG,-0.0613280274864365
600028.XSHG,0.010795732517481626
002126.XSHE,0.001051847928549371
002550.XSHE,-0.012513890942383558
300604.XSHE,-0.17011257432644444
600377.XSHG,0.0028304301680957085
001207.XSHE,-0.01560981677558248
688606.XSHG,0.004101584403486619
002217.XSHE,0.028457906479871516
300110.XSHE,0.020763478518541587
600550.XSHG,0.037491999841385446
603895.XSHG,0.0063446716460549245
002948.XSHE,0.0006276980052373629
002319.XSHE,-0.03305046044462289
002434.XSHE,-0.022679037982041114
603829.XSHG,0.07997429453471672
000029.XSHE,0.05725555034192337
002252.XSHE,0.009225672504594216
000560.XSHE,-0.18082698911037046
002442.XSHE,0.09994152201755818
301023.XSHE,-0.002500353196590678
301160.XSHE,0.01353408094696092
600077.XSHG,-0.03231221245720627
002072.XSHE,0.03376288841302591
600395.XSHG,-0.056439133561799026
000828.XSHE,-0.024015812112747736
600596.XSHG,-0.012690625121842592
605179.XSHG,-0.0400612467134058
688696.XSHG,-0.10123313898415552
002802.XSHE,-0.06656184910837568
