code,volume_turnover_ratio
600896.XSHG,1759266.4487127094
002309.XSHE,1846463.2439995694
002385.XSHE,2772574.638233054
300051.XSHE,357773.75029188296
002973.XSHE,408900.70812331856
600962.XSHG,1341888.3137567192
300441.XSHE,406088.52119958634
002480.XSHE,1557556.6080699519
600926.XSHG,22273832.8358209
603283.XSHG,401543.0202409744
603690.XSHG,2068088.8234055988
601228.XSHG,14185435.510887772
600525.XSHG,1025084.3388716913
300091.XSHE,791649.9012035208
603157.XSHG,1378088.2175953784
002456.XSHE,1306833.9159640826
300124.XSHE,859343.7548367126
603637.XSHG,997215.1500864372
688118.XSHG,216688.6515332663
688178.XSHG,193354.1694823625
000883.XSHE,12372001.620745543
002115.XSHE,854698.4761698908
002573.XSHE,1411211.1517367458
002696.XSHE,503600.99863822054
002809.XSHE,471808.4437693154
300199.XSHE,717635.9214868855
300397.XSHE,771381.9443010797
002287.XSHE,3545104.625550661
000710.XSHE,658973.5828288387
000722.XSHE,1064978.2772950511
603368.XSHG,1335932.9608938547
603863.XSHG,514740.33843089343
603598.XSHG,1329999.4872802782
600410.XSHG,873651.0052701747
002736.XSHE,75465875.8314856
600198.XSHG,4859021.286441462
002283.XSHE,2293694.52653978
600389.XSHG,949589.0798100836
000049.XSHE,379531.86925910384
000971.XSHE,2083249.478079332
600458.XSHG,1000046.6729468185
300268.XSHE,660181.7997156206
300304.XSHE,1027964.6721130493
002238.XSHE,2776227.4397061174
002045.XSHE,815030.4202235533
688090.XSHG,153240.80808080808
688169.XSHG,155338.59156721344
603117.XSHG,4342395.852880465
300641.XSHE,1278793.2968728088
002560.XSHE,616025.5677270336
300517.XSHE,607934.270041382
600423.XSHG,2197216.0599906263
300640.XSHE,285870.56593555375
603708.XSHG,3402098.978373358
601991.XSHG,38645697.232772656
600146.XSHG,3560358.733741165
002107.XSHE,762897.4901377851
002548.XSHE,1066273.6238224064
300687.XSHE,346774.95979215635
300665.XSHE,452542.69300385617
300075.XSHE,466365.6636536632
603019.XSHG,3182156.9785427037
300197.XSHE,526178.0768703441
000056.XSHE,1917605.6659812657
000796.XSHE,1993394.2992874112
600012.XSHG,5161252.185608608
300756.XSHE,129595.47432550043
603605.XSHG,614760.2418430105
002312.XSHE,739452.032677839
600031.XSHG,1775274.7143566816
000659.XSHE,762356.225572306
603848.XSHG,695724.8927733268
002382.XSHE,990663.2990091315
688198.XSHG,195387.7933852922
600814.XSHG,1175517.2413793104
603129.XSHG,638419.0523198422
300629.XSHE,289488.28634381044
002612.XSHE,943865.3963281998
000698.XSHE,2544405.989762396
002303.XSHE,1762745.9611932645
600648.XSHG,1393454.3336892168
603358.XSHG,1490307.9578488371
600318.XSHG,1523683.941334027
002748.XSHE,1142485.4283514791
300088.XSHE,1410316.790790659
603217.XSHG,227601.5801354402
688321.XSHG,430006.2350277295
603712.XSHG,3652184.8693857603
603223.XSHG,1413350.9579497387
002624.XSHE,5597216.243814312
000537.XSHE,827316.6363084395
300498.XSHE,25332934.263679765
603868.XSHG,3908457.3002754822
002563.XSHE,3636857.5867426204
600385.XSHG,589787.6494996338
603085.XSHG,1105065.0090158489
002106.XSHE,1990924.5918510547
002703.XSHE,2171557.477359876
000400.XSHE,1287278.0832163335
300469.XSHE,539063.6376203861
000430.XSHE,718829.4698186826
601038.XSHG,5732724.964041712
002273.XSHE,852947.5824016263
300344.XSHE,625157.793077666
600299.XSHG,9081785.26209167
000523.XSHE,943452.3617170248
000062.XSHE,1457289.9824253076
002110.XSHE,11152780.64417646
002889.XSHE,372024.9103807606
300021.XSHE,630110.3435902037
600769.XSHG,687012.5906142694
000612.XSHE,1219894.6900029664
600833.XSHG,243413.91702058152
600758.XSHG,4758305.263157895
001896.XSHE,6726045.050270689
002152.XSHE,1472505.303881193
300666.XSHE,936119.2504848989
603099.XSHG,2611410.6819553412
000558.XSHE,2030931.6362682062
300176.XSHE,806178.5860237025
002608.XSHE,14497033.218785796
000987.XSHE,6502981.969486824
300222.XSHE,729245.423125934
300267.XSHE,1383670.7251479144
600421.XSHG,1018798.5803016858
600589.XSHG,1640586.9188160913
603818.XSHG,2381239.841783531
300532.XSHE,816552.4207354654
002288.XSHE,1014764.0300851311
600029.XSHG,47716195.224027574
300725.XSHE,496778.17014446226
603466.XSHG,438018.0611780488
300732.XSHE,471657.3681781954
000623.XSHE,534480.7524059493
000869.XSHE,995451.1169132579
600558.XSHG,1289256.853396901
002669.XSHE,1117664.287111285
002263.XSHE,4155711.775043937
002915.XSHE,340689.38044284115
300623.XSHE,415545.5995915502
300618.XSHE,816449.2006188757
300345.XSHE,742149.9318826172
600707.XSHG,5656409.957389549
000066.XSHE,2184709.4842377957
300214.XSHE,1111259.5837897041
300514.XSHE,448697.2978040264
000795.XSHE,2557227.52190616
002876.XSHE,538765.1463934681
600248.XSHG,1735883.2497628406
002074.XSHE,2236476.1012183693
300424.XSHE,1055559.2305216864
300402.XSHE,2007979.6511627908
002096.XSHE,750900.5591054313
603138.XSHG,813689.8211829435
600536.XSHG,932783.5376331768
600039.XSHG,4454964.233576642
000409.XSHE,1845647.414426926
002351.XSHE,626539.0203017322
300138.XSHE,817177.8573905004
002481.XSHE,601509.2711510676
002727.XSHE,1428493.237531699
002836.XSHE,764591.534106228
002609.XSHE,787659.6961800038
000799.XSHE,1562883.5091820727
002179.XSHE,1370380.6612948042
002636.XSHE,2755710.432931157
300598.XSHE,531828.3684066685
002829.XSHE,769704.1558138632
600728.XSHG,1278562.2147026095
603766.XSHG,6998835.672997522
601908.XSHG,4624860.57426836
000918.XSHE,7298734.809613827
300244.XSHE,479525.1433467343
300282.XSHE,828125.2786969888
300096.XSHE,734385.2195402688
601208.XSHG,2767215.4176011044
603031.XSHG,790955.5155915986
603688.XSHG,2153568.213438088
601857.XSHG,1208609911.3737075
