code,date,volume_turnover_ratio
603486.XSHG,2023-02-09,3948700.960768615
605589.XSHG,2023-02-09,6050475.752508362
002320.XSHE,2023-02-09,1623943.2835820895
688428.XSHG,2023-02-09,2301443.219291014
600547.XSHG,2023-02-09,1643356.1643835616
300098.XSHE,2023-02-09,987880.092236741
002022.XSHE,2023-02-09,410400.2463054187
002097.XSHE,2023-02-09,2045655.9806963117
300797.XSHE,2023-02-09,2453972.072678331
301137.XSHE,2023-02-09,452449.97812164365
603159.XSHG,2023-02-09,945068.7318489836
000503.XSHE,2023-02-09,924414.185550249
600455.XSHG,2023-02-09,552740.950003285
002219.XSHE,2023-02-09,1463382.0325515827
601916.XSHG,2023-02-09,152595314.38935915
603177.XSHG,2023-02-09,1996011.5029945811
601996.XSHG,2023-02-09,2455085.826385483
000419.XSHE,2023-02-09,335096.06474331254
600522.XSHG,2023-02-09,3961807.5375921847
002919.XSHE,2023-02-09,777588.1747590982
600560.XSHG,2023-02-09,484848.9820269968
600679.XSHG,2023-02-09,1165852.7397260275
300310.XSHE,2023-02-09,896967.8367947069
600683.XSHG,2023-02-09,1135461.4509893109
300608.XSHE,2023-02-09,511375.36196059047
688123.XSHG,2023-02-09,1191159.0977043952
300277.XSHE,2023-02-09,627563.2283124729
688636.XSHG,2023-02-09,293966.95131418435
601718.XSHG,2023-02-09,39381168.77637131
600137.XSHG,2023-02-09,625070.6868509946
000848.XSHE,2023-02-09,407688.6962802456
600282.XSHG,2023-02-09,6098197.20959398
603356.XSHG,2023-02-09,1290715.0121475789
300196.XSHE,2023-02-09,698235.8351729213
300203.XSHE,2023-02-09,4288159.324777431
301001.XSHE,2023-02-09,342382.47996995493
002431.XSHE,2023-02-09,1480637.686475911
000833.XSHE,2023-02-09,2245436.9181507323
300617.XSHE,2023-02-09,499154.2166707486
300667.XSHE,2023-02-09,687022.6233380781
603198.XSHG,2023-02-09,6554217.191097467
605077.XSHG,2023-02-09,750035.6092274345
605337.XSHG,2023-02-09,593941.7125590916
002340.XSHE,2023-02-09,2117034.3370311675
002183.XSHE,2023-02-09,1724505.791169555
300645.XSHE,2023-02-09,712362.2408065071
688262.XSHG,2023-02-09,1861337.2004274155
001298.XSHE,2023-02-09,240000.39154523326
688633.XSHG,2023-02-09,227401.38170290395
601985.XSHG,2023-02-09,162952901.78571427
002892.XSHE,2023-02-09,541809.858914358
600303.XSHG,2023-02-09,1021913.4945568788
003012.XSHE,2023-02-09,6169928.10854597
600653.XSHG,2023-02-09,1805.524861878453
300056.XSHE,2023-02-09,645269.730839416
688004.XSHG,2023-02-09,394083.18264014466
688536.XSHG,2023-02-09,439723.0882083257
688789.XSHG,2023-02-09,417323.7710826006
002197.XSHE,2023-02-09,1304699.4906621394
002539.XSHE,2023-02-09,1100387.4357641896
605158.XSHG,2023-02-09,1070678.1140861467
000625.XSHE,2023-02-09,5214610.547052584
002811.XSHE,2023-02-09,1406562.751948401
300520.XSHE,2023-02-09,1029819.0524802357
603759.XSHG,2023-02-09,1291896.7266021208
000717.XSHE,2023-02-09,4533004.4998269295
002026.XSHE,2023-02-09,1142801.7017744111
301259.XSHE,2023-02-09,296016.6635461524
688049.XSHG,2023-02-09,896654.4566544567
300771.XSHE,2023-02-09,726829.574822105
300499.XSHE,2023-02-09,659423.7874041266
688009.XSHG,2023-02-09,77519274.68099396
688503.XSHG,2023-02-09,237506.61271392784
002435.XSHE,2023-02-09,2811285.1063829786
002191.XSHE,2023-02-09,2127410.7514107516
601908.XSHG,2023-02-09,5565046.193055113
601992.XSHG,2023-02-09,34716508.15688997
300787.XSHE,2023-02-09,475720.137317625
002647.XSHE,2023-02-09,1646073.901292162
300055.XSHE,2023-02-09,772459.9393676916
300655.XSHE,2023-02-09,1047900.2498558525
601388.XSHG,2023-02-09,3745423.8864001352
