date,code,zt,dt,paused
2023-05-23,000417.XSHE,0,0,0.0
2023-05-23,000418.XSHE,0,0,
2023-05-23,000419.XSHE,0,0,0.0
2023-05-23,000420.XSHE,0,0,0.0
2023-05-23,000421.XSHE,0,0,0.0
2023-05-23,000422.XSHE,0,0,0.0
2023-05-23,000423.XSHE,0,0,0.0
2023-05-23,000425.XSHE,0,0,0.0
2023-05-23,000426.XSHE,0,0,0.0
2023-05-23,000428.XSHE,0,0,0.0
2023-05-23,000429.XSHE,0,0,0.0
2023-05-23,000430.XSHE,0,0,0.0
2023-05-23,000488.XSHE,0,0,0.0
2023-05-23,000498.XSHE,0,0,0.0
2023-05-23,000501.XSHE,0,0,0.0
2023-05-23,000502.XSHE,0,0,
2023-05-23,000503.XSHE,0,0,0.0
2023-05-23,000504.XSHE,0,0,0.0
2023-05-23,000505.XSHE,0,0,0.0
2023-05-23,000506.XSHE,0,0,0.0
2023-05-23,000507.XSHE,0,0,0.0
2023-05-23,000509.XSHE,0,0,0.0
2023-05-23,000510.XSHE,0,0,0.0
2023-05-23,000511.XSHE,0,0,
2023-05-23,000513.XSHE,0,0,0.0
2023-05-23,000514.XSHE,0,0,0.0
2023-05-23,000515.XSHE,0,0,
2023-05-23,000516.XSHE,0,0,0.0
2023-05-23,000517.XSHE,0,0,0.0
2023-05-23,000518.XSHE,0,0,0.0
2023-05-23,000519.XSHE,0,0,0.0
2023-05-23,000520.XSHE,0,0,0.0
2023-05-23,000521.XSHE,0,0,0.0
2023-05-23,000522.XSHE,0,0,
2023-05-23,000523.XSHE,0,0,0.0
2023-05-23,000524.XSHE,0,0,0.0
2023-05-23,000525.XSHE,1,0,0.0
2023-05-23,000526.XSHE,0,0,0.0
2023-05-23,000527.XSHE,0,0,
2023-05-23,000528.XSHE,0,0,0.0
2023-05-23,000529.XSHE,0,0,0.0
2023-05-23,000530.XSHE,0,0,0.0
2023-05-23,000531.XSHE,0,0,0.0
2023-05-23,000532.XSHE,0,0,0.0
2023-05-23,000533.XSHE,0,0,0.0
2023-05-23,000534.XSHE,0,0,0.0
2023-05-23,000535.XSHE,0,0,
2023-05-23,000536.XSHE,0,0,0.0
2023-05-23,000537.XSHE,0,0,0.0
2023-05-23,000538.XSHE,0,0,0.0
2023-05-23,000539.XSHE,0,0,0.0
2023-05-23,000540.XSHE,1,1,1.0
2023-05-23,000541.XSHE,0,0,0.0
2023-05-23,000543.XSHE,0,0,0.0
2023-05-23,000544.XSHE,0,0,0.0
2023-05-23,000545.XSHE,0,0,0.0
2023-05-23,000546.XSHE,0,0,0.0
2023-05-23,000547.XSHE,0,0,0.0
2023-05-23,000548.XSHE,0,0,0.0
2023-05-23,000549.XSHE,0,0,
2023-05-23,000550.XSHE,0,0,0.0
2023-05-23,000551.XSHE,0,0,0.0
2023-05-23,000552.XSHE,0,0,0.0
2023-05-23,000553.XSHE,0,0,0.0
2023-05-23,000554.XSHE,0,0,0.0
2023-05-23,000555.XSHE,0,0,0.0
2023-05-23,000557.XSHE,0,0,0.0
2023-05-23,000558.XSHE,0,0,0.0
2023-05-23,000559.XSHE,0,0,0.0
2023-05-23,000560.XSHE,0,0,0.0
2023-05-23,000561.XSHE,0,0,0.0
2023-05-23,000562.XSHE,0,0,
2023-05-23,000563.XSHE,0,0,0.0
2023-05-23,000564.XSHE,0,0,0.0
2023-05-23,000565.XSHE,0,0,0.0
2023-05-23,000566.XSHE,0,0,0.0
2023-05-23,000567.XSHE,0,0,0.0
2023-05-23,000568.XSHE,0,0,0.0
2023-05-23,000569.XSHE,0,0,
2023-05-23,000570.XSHE,0,0,0.0
2023-05-23,000571.XSHE,0,0,0.0
2023-05-23,000572.XSHE,0,0,0.0
2023-05-23,000573.XSHE,0,0,0.0
2023-05-23,000576.XSHE,0,0,0.0
2023-05-23,000578.XSHE,0,0,
2023-05-23,000581.XSHE,0,0,0.0
2023-05-23,000582.XSHE,0,0,0.0
2023-05-23,000583.XSHE,0,0,
2023-05-23,000584.XSHE,1,0,0.0
2023-05-23,000585.XSHE,0,0,
2023-05-23,000586.XSHE,0,0,0.0
2023-05-23,000587.XSHE,0,0,
2023-05-23,000589.XSHE,0,0,0.0
2023-05-23,000590.XSHE,0,0,0.0
2023-05-23,000591.XSHE,0,0,0.0
2023-05-23,000592.XSHE,0,0,0.0
2023-05-23,000593.XSHE,0,0,0.0
2023-05-23,000594.XSHE,0,0,
2023-05-23,000595.XSHE,0,0,0.0
2023-05-23,000596.XSHE,0,0,0.0
2023-05-23,000597.XSHE,0,0,0.0
2023-05-23,000598.XSHE,0,0,0.0
2023-05-23,000599.XSHE,0,0,0.0
2023-05-23,000600.XSHE,0,0,0.0
2023-05-23,000601.XSHE,0,0,0.0
2023-05-23,000602.XSHE,0,0,
2023-05-23,000603.XSHE,0,0,0.0
2023-05-23,000605.XSHE,0,0,0.0
2023-05-23,000606.XSHE,1,1,1.0
2023-05-23,000607.XSHE,0,0,0.0
2023-05-23,000608.XSHE,0,0,0.0
2023-05-23,000609.XSHE,0,0,0.0
2023-05-23,000610.XSHE,0,0,0.0
2023-05-23,000611.XSHE,0,0,
2023-05-23,000612.XSHE,0,0,0.0
2023-05-23,000613.XSHE,0,0,
2023-05-23,000615.XSHE,1,0,0.0
2023-05-23,000616.XSHE,1,1,0.0
2023-05-23,000617.XSHE,0,0,0.0
2023-05-23,000618.XSHE,0,0,
2023-05-23,000619.XSHE,0,0,0.0
