date,code,open,close,low,high,volume,money,turnover_ratio
2021-10-28,000766.XSHE,12.48,12.65,12.35,13.02,1807062.0,22932138.0,0.8578
2021-10-28,000767.XSHE,37.31,36.98,36.12,38.5,4858990.0,181188664.32,1.8096
2021-10-28,000768.XSHE,250.6,245.33,243.97,254.85,2923442.0,732508214.76,0.8976
2021-10-28,000776.XSHE,124.15,121.57,119.99,126.03,14363127.0,1768678493.1,1.4223
2021-10-28,000777.XSHE,81.27,76.27,75.42,81.27,1448502.0,111649892.18,2.6630000000000003
2021-10-28,000778.XSHE,56.94,55.3,54.86,57.24,4235560.0,234779858.53,1.6251
2021-10-28,000779.XSHE,20.15,19.74,19.71,20.15,200860.0,3979487.4,0.2824
2021-10-28,000780.XSHE,47.36,45.2,45.2,47.92,2118457.0,96783283.49,1.0716
2021-10-28,000782.XSHE,16.27,16.88,16.1,17.02,5506003.0,91638071.26,3.5629
2021-10-28,000783.XSHE,43.06,43.06,42.94,43.48,3159667.0,136519206.65,0.3456
2021-10-28,000785.XSHE,30.56,30.75,30.3,30.82,1623712.0,49671353.32,1.389
2021-10-28,000786.XSHE,322.42,319.8,316.04,326.52,1502867.0,482542322.15,1.0134
2021-10-28,000788.XSHE,23.89,23.29,23.26,23.89,895082.0,20985320.78,0.5642
2021-10-28,000789.XSHE,71.44,70.58,70.15,72.68,2301356.0,163426813.97,1.7806
2021-10-28,000790.XSHE,64.27,64.65,62.76,65.03,697968.0,44593617.7,1.4299
2021-10-28,000791.XSHE,24.7,23.55,23.01,24.81,23475773.0,558529410.6,6.6221
2021-10-28,000792.XSHE,246.27,222.82,222.74,250.2,17969729.0,4177878605.13,2.6043
2021-10-28,000793.XSHE,29.76,29.5,29.24,29.89,1071538.0,31609210.94,0.71
2021-10-28,000795.XSHE,23.26,22.82,22.65,23.35,3921569.0,90062572.0,1.5331
2021-10-28,000796.XSHE,28.79,28.75,28.42,29.11,1467974.0,42173889.42,0.7364
2021-10-28,000797.XSHE,18.04,17.97,17.76,18.19,1236649.0,22179693.17,0.5651
2021-10-28,000798.XSHE,16.4,15.9,15.62,16.47,2192619.0,34763276.37,1.5816
2021-10-28,000799.XSHE,474.99,456.07,449.98,475.58,3922627.0,1809882300.01,2.5266
2021-10-28,000800.XSHE,27.24,25.95,25.85,27.24,7261758.0,190925431.09,2.3957
2021-10-28,000801.XSHE,97.43,100.92,96.7,102.08,1348431.0,135141196.45,1.9171
2021-10-28,000802.XSHE,15.9,16.18,15.62,16.46,1801430.0,28505447.64,0.8833
2021-10-28,000803.XSHE,58.75,58.0,57.43,60.88,1690228.0,99630078.07,3.439
2021-10-28,000806.XSHE,19.64,20.66,19.64,20.66,1362224.0,27885969.5,1.6566
2021-10-28,000807.XSHE,84.55,82.49,80.23,85.03,21104531.0,1736600426.2,5.1424
2021-10-28,000809.XSHE,7.78,7.66,7.49,7.87,6884056.0,52606490.16,2.4138
2021-10-28,000810.XSHE,39.65,37.87,37.87,39.65,1674313.0,65066139.54,0.8813
2021-10-28,000811.XSHE,205.61,206.58,204.14,216.68,2241308.0,468588986.37,4.8921
