code,low_close_diff
688663.XSHG,-0.9699999999999989
603055.XSHG,-0.08000000000000007
601888.XSHG,-10.680000000000064
300435.XSHE,-1.3900000000000006
300796.XSHE,-0.3100000000000023
600425.XSHG,-0.05999999999999872
300145.XSHE,-1.1699999999999946
600456.XSHG,-8.030000000000001
688456.XSHG,-1.3100000000000023
603577.XSHG,-0.35999999999999943
603095.XSHG,-0.379999999999999
002677.XSHE,-1.019999999999996
300268.XSHE,-5.850000000000001
688036.XSHG,-15.740000000000009
300561.XSHE,-0.6099999999999994
603589.XSHG,-1.6099999999999994
688560.XSHG,-1.240000000000002
603596.XSHG,-1.6000000000000014
300114.XSHE,-4.909999999999997
002200.XSHE,-0.05999999999999872
300198.XSHE,-1.4299999999999997
000059.XSHE,-0.08999999999999986
600056.XSHG,-0.5699999999999932
601788.XSHG,-0.28000000000000114
600461.XSHG,-0.44000000000000483
002386.XSHE,-1.2199999999999989
300261.XSHE,-0.37000000000000455
000812.XSHE,-0.14000000000000057
002945.XSHE,-0.14000000000000057
000705.XSHE,-0.5500000000000043
003017.XSHE,-0.8599999999999994
600367.XSHG,-1.9100000000000037
600898.XSHG,-0.21000000000000085
600345.XSHG,-0.7699999999999996
688017.XSHG,-8.02000000000001
601766.XSHG,-0.03999999999999915
300628.XSHE,-9.100000000000023
601128.XSHG,-0.04999999999999982
300798.XSHE,-0.1999999999999993
300281.XSHE,-0.7999999999999972
300687.XSHE,-2.0700000000000074
002461.XSHE,-1.2300000000000004
300759.XSHE,-4.190000000000026
002110.XSHE,-0.0600000000000005
002228.XSHE,-0.19999999999999574
002518.XSHE,-1.2199999999999989
600734.XSHG,-0.03999999999999915
300071.XSHE,-0.33000000000000185
300049.XSHE,-1.7299999999999969
300596.XSHE,-2.430000000000007
603555.XSHG,-0.009999999999999787
003041.XSHE,-0.5899999999999999
300688.XSHE,-0.75
002567.XSHE,-0.05000000000000426
001203.XSHE,-1.2899999999999991
600527.XSHG,-1.9799999999999898
002197.XSHE,-0.37000000000000455
300485.XSHE,-0.5399999999999991
000905.XSHE,-0.08000000000000185
601918.XSHG,0.0
603496.XSHG,-0.8000000000000007
002128.XSHE,-0.33999999999999986
600576.XSHG,-0.0600000000000005
002230.XSHE,-8.079999999999927
300718.XSHE,-0.46999999999999886
603948.XSHG,-0.4299999999999997
002275.XSHE,-0.20000000000000284
300191.XSHE,-1.0600000000000023
603001.XSHG,-0.1800000000000015
002187.XSHE,-0.3999999999999986
000758.XSHE,-0.8599999999999994
300395.XSHE,-4.159999999999997
300285.XSHE,-11.149999999999977
002640.XSHE,-1.3499999999999979
300108.XSHE,-0.8000000000000007
600250.XSHG,-0.16999999999999993
603060.XSHG,-2.229999999999997
300571.XSHE,-2.1700000000000017
600353.XSHG,-0.37999999999999545
603995.XSHG,-0.5
600157.XSHG,-1.0200000000000102
002599.XSHE,-0.6600000000000001
300236.XSHE,-2.1300000000000097
300708.XSHE,-0.39000000000000057
603726.XSHG,-0.4200000000000017
002779.XSHE,-0.27999999999999936
603136.XSHG,-0.5499999999999972
002521.XSHE,-0.379999999999999
300872.XSHE,-0.480000000000004
002756.XSHE,-4.200000000000003
600099.XSHG,-0.19000000000000128
600859.XSHG,-5.1699999999999875
603602.XSHG,-0.23000000000000043
300107.XSHE,-0.6599999999999966
300405.XSHE,-0.41000000000000014
600750.XSHG,-1.6100000000000136
002292.XSHE,-0.9500000000000028
002635.XSHE,-0.2400000000000091
000683.XSHE,-2.0500000000000007
601107.XSHG,-0.019999999999999574
