code,date,momentum_5d
002285.XSHE,2023-06-16,0.007712082262210984
002574.XSHE,2023-06-16,0.03893294881038223
688348.XSHG,2023-06-16,0.13616929388900867
301238.XSHE,2023-06-16,0.012281530467642687
000739.XSHE,2023-06-16,0.017285972928700932
002900.XSHE,2023-06-16,-0.004074241738343143
600186.XSHG,2023-06-16,-0.0174418604651162
600584.XSHG,2023-06-16,0.019830949284785238
603070.XSHG,2023-06-16,-0.02175038839979271
002806.XSHE,2023-06-16,-0.062249888839484124
688237.XSHG,2023-06-16,0.007732544916988937
300639.XSHE,2023-06-16,-0.04083253892596128
601991.XSHG,2023-06-16,-0.09654471544715437
688351.XSHG,2023-06-16,0.019746835443037902
002398.XSHE,2023-06-16,0.017443445080403297
301239.XSHE,2023-06-16,-0.10436200570729726
002627.XSHE,2023-06-16,-0.011007154650523043
300323.XSHE,2023-06-16,0.020583190394511064
002027.XSHE,2023-06-16,0.1080457358648903
601113.XSHG,2023-06-16,-0.049046321525885506
300866.XSHE,2023-06-16,0.01146332904433267
600276.XSHG,2023-06-16,0.037343781665878595
002377.XSHE,2023-06-16,0.037142857142857144
002738.XSHE,2023-06-16,-0.012961173327269648
002802.XSHE,2023-06-16,0.000932835820895539
002140.XSHE,2023-06-16,0.03266236232434494
300130.XSHE,2023-06-16,0.11705955001879409
002021.XSHE,2023-06-16,0.11686746987951802
603555.XSHG,2023-06-16,0.0625
300777.XSHE,2023-06-16,0.0006497725795970855
002884.XSHE,2023-06-16,0.03373945641986875
603031.XSHG,2023-06-16,0.026372609500308286
300698.XSHE,2023-06-16,0.12983114446529087
000933.XSHE,2023-06-16,-0.017807315712039085
002776.XSHE,2023-06-16,-0.04038179148311294
300083.XSHE,2023-06-16,0.0826062743642102
002304.XSHE,2023-06-16,0.06524184476940387
601233.XSHG,2023-06-16,0.02422907488986792
300658.XSHE,2023-06-16,-0.006845708267509187
002392.XSHE,2023-06-16,-0.0025756600128782337
601598.XSHG,2023-06-16,-0.02422145328719738
300563.XSHE,2023-06-16,0.1444524495677233
605189.XSHG,2023-06-16,-0.009419930589985137
002683.XSHE,2023-06-16,0.03571428571428581
002882.XSHE,2023-06-16,0.05823418910457101
600969.XSHG,2023-06-16,-0.03370786516853941
603131.XSHG,2023-06-16,0.04354354354354362
301267.XSHE,2023-06-16,-0.05703008030488632
002347.XSHE,2023-06-16,0.02106270943034927
002316.XSHE,2023-06-16,0.05181695827725452
688019.XSHG,2023-06-16,-0.0324487298128302
301126.XSHE,2023-06-16,0.023616236162361526
002333.XSHE,2023-06-16,0.0185688405797102
601866.XSHG,2023-06-16,-0.01384083044982698
603505.XSHG,2023-06-16,0.031946264744429964
002501.XSHE,2023-06-16,-0.019425675675675658
300310.XSHE,2023-06-16,0.09113924050632916
300498.XSHE,2023-06-16,0.023857430296062132
000690.XSHE,2023-06-16,-0.11461077173121126
