code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000403.XSHE,-0.5266529999999999,-0.517292,-0.569063,0.248426,1.173607,-0.726988,-0.761372,-1.047314,0.161547,-1.120826
000404.XSHE,-2.6330400000000003,-1.446932,-0.802996,-0.908242,0.761097,2.538419,-0.253374,0.930003,-0.6715810000000001,-0.306203
000407.XSHE,-2.3173630000000003,-1.6615369999999998,-0.509117,-0.646583,1.53106,0.800048,-0.377546,0.740079,0.979802,-0.156885
000408.XSHE,0.02773,-0.167321,2.8403810000000003,1.96186,0.225505,-0.90631,1.860409,-1.221754,-1.286624,-2.050075
000409.XSHE,-2.592261,-1.205133,0.053822,0.8200719999999999,0.879899,-0.815503,0.725946,-0.764426,-0.155617,-0.735157
000410.XSHE,-1.749968,-2.085514,-0.8353209999999999,0.502368,2.14712,-1.281613,-2.05725,-1.870944,-2.578518,2.063302
000411.XSHE,-2.446366,-1.062385,-1.1870969999999998,0.371827,1.257151,0.253745,0.468966,-0.006928,-0.003951,0.6537229999999999
000413.XSHE,-1.251138,-1.556045,-1.976337,0.517181,2.04175,2.714184,0.220575,-0.516496,-1.418135,0.070478
000415.XSHE,-1.1007360000000002,-2.398594,-0.942877,1.060023,1.918372,2.714184,-0.598863,0.4626,-1.095053,2.063302
000416.XSHE,-2.869327,-1.279467,-1.591346,-0.6101989999999999,-0.048494,-0.000267,-0.323473,-0.485517,-2.282486,-1.269497
000417.XSHE,-2.377424,-1.409125,-1.069912,-0.7715890000000001,1.410298,2.321607,-0.439634,0.157684,-0.889234,0.245353
000419.XSHE,-2.703764,-1.4545709999999998,-0.873597,-0.646306,0.540752,2.714184,-0.697702,0.197036,-0.8225819999999999,0.072407
000420.XSHE,-1.7496009999999995,-1.151398,0.919666,0.446068,2.147241,-0.019218,0.2379219999999999,-1.162998,-0.74648,-0.141468
000421.XSHE,-2.591634,-1.492045,-0.8594700000000001,-0.139404,0.8816790000000001,1.80524,-0.556488,-2.703904,0.271716,1.567926
000422.XSHE,-1.548917,-1.6726330000000005,2.746886,2.011154,2.1669560000000003,-1.205155,1.00153,0.448171,-0.062063,2.063302
000423.XSHE,-0.69885,0.137872,-1.055613,-0.815607,1.43382,-0.058308,-0.107391,-0.62154,-0.7549680000000001,-1.144892
000425.XSHE,-0.032399,0.522428,-0.655235,-0.464172,0.33195,0.709924,0.208337,1.185984,1.335847,-0.048741
000426.XSHE,-1.0868209999999998,0.065928,-0.038835,0.007811,1.905158,-0.28425,0.376957,0.118476,-0.675431,-0.478191
000428.XSHE,-2.578287,-1.896559,-1.126039,0.5226109999999999,0.919244,0.8367979999999999,-0.7013189999999999,-1.57089,-1.173092,0.1289799999999999
000429.XSHE,-1.118816,-2.087535,-0.401696,-0.843082,1.935102,0.308287,-1.430987,1.205111,-0.2184809999999999,0.521011
000430.XSHE,-2.802191,-0.802875,-0.738388,-0.512182,0.203105,0.768215,-0.0111799999999999,-0.7033699999999999,-2.662054,0.203723
000488.XSHE,-0.629268,0.85036,0.287618,0.180998,1.3317,1.092493,1.4103290000000002,2.113029,-1.502839,0.980057
000498.XSHE,-1.51612,-1.534793,-0.30703,-0.3130409999999999,2.161745,1.840919,0.226867,2.113029,1.2810700000000002,1.676866
000501.XSHE,-1.503169,-1.028352,-1.087032,0.040776,2.159069,2.010352,0.455265,1.265025,-1.429063,0.4870739999999999
000502.XSHE,-3.4979730000000004,-0.944055,-1.950888,0.243887,-1.437224,-0.839369,-0.637544,-0.935732,-2.545201,-1.072205
000503.XSHE,-1.807799,-0.983521,-2.046253,0.543998,2.123928,-0.966051,-0.263169,-0.986735,-1.362826,-0.936906
000504.XSHE,-1.808918,-1.282622,1.620373,0.545397,2.123398,-1.384148,-0.8378329999999999,-0.924434,1.229265,-0.150009
000505.XSHE,-2.044717,-0.796239,-1.111623,-0.394303,1.939432,0.3145179999999999,0.276171,-0.99088,0.641722,-0.667295
000506.XSHE,-2.660263,-1.236644,-1.493833,0.081444,0.678449,-0.7621680000000001,-0.078827,-1.379761,-1.6743740000000005,-0.158032
000507.XSHE,-1.968299,-1.7202830000000002,-0.639864,-0.757328,2.015271,1.58553,-0.047645,0.111944,0.410089,0.831239
000509.XSHE,-2.401602,-1.911447,0.084797,0.423577,1.358378,-1.248062,-0.386303,-0.976866,-1.991262,-0.94479
000510.XSHE,-2.437848,-1.442441,-0.6106659999999999,-0.618858,1.276927,-0.299969,0.566555,0.098535,0.2321929999999999,-0.803761
000513.XSHE,-0.1915859999999999,-0.157661,0.103492,0.110323,0.6121840000000001,-0.4907689999999999,0.452632,-0.248009,-1.390847,-0.791656
000514.XSHE,-2.5817,-1.50613,-1.264096,-1.4961719999999998,0.909697,2.425778,-1.727216,-0.014583,-0.43516,-0.179055
000516.XSHE,-0.3816739999999999,-0.248584,2.762586,1.831998,0.937619,-0.841463,1.122647,-1.298203,-2.049832,0.0464689999999999
000517.XSHE,-1.597174,-1.361991,-0.894339,-0.476518,2.170452,1.710749,-1.129124,1.601895,1.847374,2.063302
000518.XSHE,-2.35741,-1.188599,-1.4216030000000002,-0.4496229999999999,1.451831,-0.8410690000000001,-0.126863,-0.5896600000000001,0.514977,-0.995488
000519.XSHE,-1.006903,0.068399,-0.2121239999999999,0.075297,1.823792,0.271563,1.231222,-0.632076,0.209246,-0.8437540000000001
000520.XSHE,-2.417575,-1.820921,-1.098685,-0.814447,1.323021,-0.992066,-1.015168,-0.663978,-0.529995,-0.797778
000521.XSHE,-2.368065,-0.8988209999999999,-0.734034,0.172259,1.429881,2.714184,0.706048,2.113029,-1.40817,-0.007611
000523.XSHE,-2.734497,-2.083409,-1.657232,2.181608,0.439245,0.076534,0.093496,-2.703904,-2.4659020000000003,2.063302
000524.XSHE,-2.079229,-1.410835,-0.949275,0.5975739999999999,1.899848,0.088118,-0.788034,-0.4917649999999999,-0.433117,-0.821974
000525.XSHE,-2.633047,-1.115267,-3.224064,1.281489,0.761076,2.714184,0.721539,-0.155593,-0.908621,0.1711359999999999
000526.XSHE,-2.441034,-1.222434,-1.817854,1.781513,1.26956,-0.454107,0.460106,-0.478314,0.8208780000000001,0.427534
000528.XSHE,-1.315152,0.507415,-0.464067,-1.216616,2.082751,1.741202,0.232598,2.0754,0.8744719999999999,-0.070492
000529.XSHE,-2.473963,-1.171165,-1.49055,-1.292716,1.191402,0.5452319999999999,-1.263277,0.907344,0.51631,-0.5505479999999999
000530.XSHE,-2.453304,-1.313602,-0.438699,-0.192052,1.240864,1.899066,0.128114,-0.4281649999999999,-1.4875969999999998,-0.617208
000531.XSHE,-2.023672,-1.113711,-0.833478,-0.305398,1.961927,1.661088,-0.687763,0.528384,0.07382,-0.096881
000532.XSHE,-1.967123,-1.03669,0.0713,1.122951,2.016313,-0.8349610000000001,1.1560549999999998,-0.374167,0.413222,-0.337483
000533.XSHE,-2.90373,-1.905665,-0.788833,-0.6416649999999999,-0.184271,-0.250039,-0.266819,-0.277998,-1.934792,-0.4584609999999999
000534.XSHE,-1.851074,-0.949349,0.086836,-0.3080489999999999,2.10116,-0.8619209999999999,-0.6490100000000001,-0.818675,0.8963610000000001,-0.318759
000536.XSHE,-1.7460650000000002,-1.923188,-0.51147,0.089777,2.148393,1.055721,-0.656283,0.234748,-2.720116,-0.199944
000537.XSHE,-1.515606,-1.6999810000000002,-1.469248,-0.830729,2.161646,2.714184,-1.437915,-2.567173,-0.0533159999999999,2.063302
000538.XSHE,0.877365,1.137178,-0.465546,-0.507972,-1.124276,-0.6084729999999999,0.5566770000000001,-0.528948,-0.241475,-0.912051
000539.XSHE,-0.863972,-2.013633,-0.796801,-0.573048,1.656723,2.714184,-1.5106,1.187777,0.132363,1.995411
000540.XSHE,-0.8873059999999999,-1.33854,-1.332021,-0.386357,1.685759,1.721557,-1.041469,2.113029,-2.644241,2.063302
000541.XSHE,-1.595875,-1.455051,-0.708609,-1.013993,2.170424,0.667103,-1.124855,-0.111773,-1.019587,-0.978915
000543.XSHE,-1.604419,-1.752852,-1.054966,-0.8533959999999999,2.1705400000000004,2.714184,-0.187077,2.113029,0.1669759999999999,0.513355
000544.XSHE,-1.894783,-1.637302,-0.90929,-0.915335,2.073335,1.846273,-1.498077,0.686493,0.042938,1.465541
000545.XSHE,-2.222117,0.559619,0.0018329999999999,0.377706,1.699166,0.005351,1.587237,-0.689211,-0.751816,-0.754157
000546.XSHE,-2.067585,-1.380062,-1.560374,-0.550551,1.913581,1.491647,-0.772003,2.113029,0.677663,-0.377618
000547.XSHE,-0.510009,0.937511,-0.494388,-0.812009,1.147207,-0.451321,0.831958,-0.536521,0.629909,-0.972035
000548.XSHE,-2.870363,-1.529242,-0.947253,-1.302542,-0.052513,1.448435,-0.7254470000000001,-1.719424,-0.7889609999999999,-0.950005
000550.XSHE,-0.6749430000000001,-0.054238,0.108644,0.8664799999999999,1.399234,-0.297354,0.8928729999999999,0.3568,-0.564932,-0.43301
000551.XSHE,-2.243929,-1.235968,-0.720291,0.686107,1.663154,0.109291,0.215673,-0.114606,0.274963,-0.612
000552.XSHE,-1.803766,-0.953359,-0.027988,-0.072822,2.125811,2.293188,0.253586,0.382821,-0.149969,-0.110151
000553.XSHE,-0.709106,-1.3994540000000002,-0.730413,-0.506945,1.448491,1.603493,-1.464298,-0.496256,0.564929,0.547783
000554.XSHE,-2.804676,-1.440334,-0.5501199999999999,-1.000885,0.194103,-0.0502639999999999,0.275151,-0.665768,-0.311071,-0.737208
000555.XSHE,-1.160056,-0.780524,-0.8330780000000001,-0.342373,1.971373,-0.130652,0.169784,-0.451211,0.076922,-0.580749
000557.XSHE,-2.025499,-1.072286,-0.8222700000000001,-0.775569,1.960023,1.777386,-0.90564,-0.2631489999999999,0.615229,-1.252972
000558.XSHE,-2.376061,-1.128337,-1.150475,-0.088673,1.413167,-0.306338,-0.253531,-0.775626,-2.868948,-0.217296
